Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year
FDV57,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB44,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDG52,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDL38,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
NCS54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRL37,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDA43,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ39,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDG45,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDH10,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDO10,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDS35,LF,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDI41,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDN21,LF,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCO18,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDB34,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDD05,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDX59,Low Fat,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ23,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
FDX27,Regular,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDV07,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDR14,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDO01,Regular,Breakfast,OUT045,-,Tier 2,Supermarket Type1,2002
FDO13,Low Fat,Breakfast,OUT017,-,Tier 2,Supermarket Type1,2007
FDU25,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
NCK54,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ56,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
NCL55,Low Fat,Others,OUT017,-,Tier 2,Supermarket Type1,2007
FDD59,Regular,Starchy Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDJ55,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDA45,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRF23,Low Fat,Hard Drinks,OUT010,-,Tier 3,Grocery Store,1998
FDT49,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCO17,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDH22,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDT34,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDB39,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDQ22,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCN43,Low Fat,Others,OUT010,-,Tier 3,Grocery Store,1998
FDG57,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDR20,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDU22,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
NCC43,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDP01,Regular,Breakfast,OUT010,-,Tier 3,Grocery Store,1998
FDF52,Low Fat,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDZ33,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDP48,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW56,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDC26,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDF34,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDJ33,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD04,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
NCJ31,Low Fat,Others,OUT013,High,Tier 3,Supermarket Type1,1987
FDO57,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDM36,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCY05,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDS44,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ39,Regular,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
NCM31,Low Fat,Others,OUT017,-,Tier 2,Supermarket Type1,2007
DRK11,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDO34,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
NCL30,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDK28,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRJ39,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
NCP06,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDE33,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ44,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDV46,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCO06,LF,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
DRG03,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDU37,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDI57,Low Fat,Seafood,OUT013,High,Tier 3,Supermarket Type1,1987
FDM45,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDC26,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDU14,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB26,reg,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDC29,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDY58,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDR59,Regular,Breads,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS03,Low Fat,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDR43,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ25,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCN26,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDO38,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDP28,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDG31,Low Fat,Meat,OUT010,-,Tier 3,Grocery Store,1998
FDI45,LF,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
NCS54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDE17,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCG06,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ57,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
NCB31,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
NCP29,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCX29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
FDU37,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDM02,Regular,Canned,OUT010,-,Tier 3,Grocery Store,1998
FDN16,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDR46,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE50,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL52,reg,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
FDQ49,Regular,Breakfast,OUT013,High,Tier 3,Supermarket Type1,1987
FDI14,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDS16,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDU15,Regular,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCG43,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDR23,Low Fat,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDS52,Low Fat,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCP18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRF23,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO09,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDB40,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
DRK37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
DRN11,Low Fat,Hard Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE22,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDF04,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDE41,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDW08,LF,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCD54,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDZ33,low fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO23,Low Fat,Breads,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN34,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDL39,Regular,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDT28,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDH33,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDA34,Low Fat,Starchy Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ56,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
DRH23,Low Fat,Hard Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
NCO18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
DRG27,Low Fat,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDM28,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
NCY41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998
FDD21,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD44,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDP16,Low Fat,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ37,Low Fat,Breakfast,OUT046,Small,Tier 1,Supermarket Type1,1997
NCY05,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
NCE07,low fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
DRI51,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
NCI31,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type1,2002
FDK60,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDY12,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDO38,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDP11,Low Fat,Breads,OUT035,Small,Tier 2,Supermarket Type1,2004
FDC21,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
NCF54,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDC35,Low Fat,Starchy Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV43,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRE12,Low Fat,Soft Drinks,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRE27,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
DRC36,Regular,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ38,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCW42,LF,Household,OUT017,-,Tier 2,Supermarket Type1,2007
NCZ18,low fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDL13,Regular,Breakfast,OUT019,Small,Tier 1,Grocery Store,1985
NCN18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDI41,reg,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDV22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
NCB43,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDQ46,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDC44,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDB22,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV23,Low Fat,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
FDK10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDF05,Low Fat,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDL33,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDD20,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCM54,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW48,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
DRF36,Low Fat,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCM06,LF,Household,OUT045,-,Tier 2,Supermarket Type1,2002
NCA54,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDT46,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDH20,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDT38,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
NCI17,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDO40,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDP12,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDI44,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB21,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG16,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
NCZ42,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
NCJ30,LF,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDV49,Low Fat,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
NCO43,LF,Others,OUT045,-,Tier 2,Supermarket Type1,2002
NCF18,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
NCX41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998
FDY11,Regular,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDU46,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCI18,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDL38,reg,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY60,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDF53,Regular,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCM05,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDR13,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDA49,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDY52,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDL02,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDO24,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDM08,reg,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDJ02,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDW40,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDT46,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY08,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDM21,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDH26,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCM42,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW13,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN04,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCD07,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDB34,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDD09,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
DRH59,low fat,Hard Drinks,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRN36,Low Fat,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
DRA24,Regular,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDY36,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG34,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDK43,Low Fat,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
NCM06,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDK22,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDF21,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO33,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCO43,Low Fat,Others,OUT017,-,Tier 2,Supermarket Type1,2007
FDX15,Low Fat,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS10,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDD46,Low Fat,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDV22,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCR29,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDU34,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ35,Regular,Breads,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDA26,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDP38,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
FDT22,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDA50,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDY10,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDC09,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDT19,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCV54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDH57,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDA28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDB05,Low Fat,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDK45,Low Fat,Seafood,OUT019,Small,Tier 1,Grocery Store,1985
DRH01,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
FDY52,Low Fat,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDR48,LF,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY15,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDM51,Regular,Meat,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDR43,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDW09,reg,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDV44,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRH37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
FDZ47,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCP43,Low Fat,Others,OUT046,Small,Tier 1,Supermarket Type1,1997
FDL26,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRM35,Low Fat,Hard Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDM39,Low Fat,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRD15,Low Fat,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
NCK06,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDV04,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDG46,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO19,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCN05,Low Fat,Health and Hygiene,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRA12,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDJ02,Regular,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCK17,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDO58,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDB22,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDG33,Regular,Seafood,OUT045,-,Tier 2,Supermarket Type1,2002
FDK58,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
DRH49,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
FDT43,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
NCR38,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRI39,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
NCZ05,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDU21,reg,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
NCP54,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCX29,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDV01,Regular,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCS17,Low Fat,Health and Hygiene,OUT017,-,Tier 2,Supermarket Type1,2007
NCN07,Low Fat,Others,OUT013,High,Tier 3,Supermarket Type1,1987
FDB14,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
NCJ18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDF57,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
DRG01,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDA02,Regular,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRJ37,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
NCP55,Low Fat,Others,OUT013,High,Tier 3,Supermarket Type1,1987
FDW45,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDK38,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
NCZ30,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDK08,Regular,Fruits and Vegetables,OUT019,Small,Tier 1,Grocery Store,1985
DRY23,Regular,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDT31,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDU52,Low Fat,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCG19,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
NCR30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDN23,Regular,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
FDQ01,Regular,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDO22,Regular,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
DRE13,Low Fat,Soft Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDL44,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDT34,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
DRM23,Low Fat,Hard Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDF32,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
NCE18,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDA51,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRZ24,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDT48,Low Fat,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRG11,Low Fat,Hard Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE58,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRA12,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDP60,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDT10,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDE05,Regular,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDC32,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDJ22,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
NCH18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRE37,Low Fat,Soft Drinks,OUT019,Small,Tier 1,Grocery Store,1985
DRC13,Regular,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDG47,Low Fat,Starchy Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDY55,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCW29,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCT05,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDN50,Regular,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDU60,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
FDX02,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDL34,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
